transect,year,plot,meas_est,rdm,soil,slope_class,landform,habitat
NF6,2002,2,1,3,ThE,3,Frontslope,1
NF6,2002,3,1,27,ThE,3,Frontslope,3
NF6,2002,4,1,5,ThE,3,Frontslope,1
NF6,2002,5,1,4.5,ThE,3,Frontslope,1
NF6,2002,1,2,4,ThE,3,Frontslope,3
NF6,2002,2,2,4.5,ThE,3,Frontslope,3
NF6,2002,3,2,2.5,TgD,3,Frontslope,1
NF6,2002,4,2,1,TgD,4,Frontslope,1
NF6,2002,5,2,2,TgD,4,Frontslope,1
NF6,2003,1,1,10,ThE,3,Frontslope,3
NF6,2003,2,1,6,ThE,3,Frontslope,1
NF6,2003,3,1,5,ThE,3,Frontslope,3
NF6,2003,4,1,10,ThE,3,Frontslope,1
NF6,2003,5,1,9,ThE,3,Frontslope,1
NF6,2003,1,2,7,ThE,3,Frontslope,3
NF6,2003,2,2,10,ThE,3,Frontslope,3
NF6,2003,3,2,10,TgD,3,Frontslope,1
NF6,2003,4,2,7,TgD,4,Frontslope,1
NF6,2003,5,2,9,TgD,4,Frontslope,1
NF6,2004,1,1,17,ThE,3,Frontslope,3
NF6,2004,2,1,5,ThE,3,Frontslope,1
NF6,2004,3,1,11,ThE,3,Frontslope,3
NF6,2004,4,1,8.5,ThE,3,Frontslope,1
NF6,2004,5,1,13,ThE,3,Frontslope,1
NF6,2004,1,2,9,ThE,3,Frontslope,3
NF6,2004,2,2,9,ThE,3,Frontslope,3
NF6,2004,3,2,7,TgD,3,Frontslope,1
NF6,2004,4,2,8,TgD,4,Frontslope,1
NF6,2004,5,2,6,TgD,4,Frontslope,1
NF6,2005,1,1,,ThE,3,Frontslope,3
NF6,2005,2,1,,ThE,3,Frontslope,1
NF6,2005,3,1,,ThE,3,Frontslope,3
NF6,2005,4,1,,ThE,3,Frontslope,1
NF6,2005,5,1,,ThE,3,Frontslope,1
NF6,2005,1,2,,ThE,3,Frontslope,3
NF6,2005,2,2,,ThE,3,Frontslope,3
NF6,2005,3,2,,TgD,3,Frontslope,1
NF6,2005,4,2,,TgD,4,Frontslope,1
NF6,2005,5,2,,TgD,4,Frontslope,1
NF6,2014,1,1,15,ThE,3,Frontslope,3
NF6,2014,2,1,14,ThE,3,Frontslope,1
NF6,2014,3,1,7.5,ThE,3,Frontslope,3
NF6,2014,4,1,8,ThE,3,Frontslope,1
NF6,2014,5,1,11.5,ThE,3,Frontslope,1
NF6,2014,1,2,10.5,ThE,3,Frontslope,3
NF6,2014,2,2,6,ThE,3,Frontslope,3
NF6,2014,3,2,1.5,TgD,3,Frontslope,1
NF6,2014,4,2,3.5,TgD,4,Frontslope,1
NF6,2014,5,2,11,TgD,4,Frontslope,1
BL7,1997,1,1,14.5,TgD,3,Frontslope,1
BL7,1997,2,1,36.5,TgD,3,Frontslope,1
BL7,1997,3,1,1,TgD,3,Frontslope,1
BL7,1997,4,1,20,TgD,3,Frontslope,1
BL7,1997,5,1,7,TgD,2,Frontslope,1
BL7,1997,1,2,,TgD,2,Frontslope,1
BL7,1997,2,2,,TgD,2,Frontslope,3
BL7,1997,3,2,,TgD,2,Frontslope,3
BL7,1997,4,2,,TgD,2,Frontslope,1
BL7,1997,5,2,,TgD,2,Frontslope,1
BL7,1998,1,1,5,TgD,3,Frontslope,1
BL7,1998,2,1,18.5,TgD,3,Frontslope,1
BL7,1998,3,1,110.5,TgD,3,Frontslope,1
BL7,1998,4,1,12,TgD,3,Frontslope,1
BL7,1998,5,1,33.5,TgD,2,Frontslope,1
BL7,1998,1,2,,TgD,2,Frontslope,1
BL7,1998,2,2,,TgD,2,Frontslope,3
BL7,1998,3,2,,TgD,2,Frontslope,3
BL7,1998,4,2,,TgD,2,Frontslope,1
BL7,1998,5,2,,TgD,2,Frontslope,1
BL7,1999,1,1,12.5,TgD,3,Frontslope,1
BL7,1999,2,1,3.5,TgD,3,Frontslope,1
BL7,1999,3,1,19,TgD,3,Frontslope,1
BL7,1999,4,1,25.5,TgD,3,Frontslope,1
BL7,1999,5,1,19,TgD,2,Frontslope,1
BL7,1999,1,2,,TgD,2,Frontslope,1
BL7,1999,2,2,,TgD,2,Frontslope,3
BL7,1999,3,2,,TgD,2,Frontslope,3
BL7,1999,4,2,,TgD,2,Frontslope,1
BL7,1999,5,2,,TgD,2,Frontslope,1
BL7,2000,1,1,9.5,TgD,3,Frontslope,1
BL7,2000,2,1,24.5,TgD,3,Frontslope,1
BL7,2000,3,1,2.5,TgD,3,Frontslope,1
BL7,2000,4,1,33,TgD,3,Frontslope,1
BL7,2000,5,1,18,TgD,2,Frontslope,1
BL7,2000,1,2,20,TgD,2,Frontslope,1
BL7,2000,2,2,30,TgD,2,Frontslope,3
BL7,2000,3,2,23,TgD,2,Frontslope,3
BL7,2000,4,2,20,TgD,2,Frontslope,1
BL7,2000,5,2,15,TgD,2,Frontslope,1
BL7,2001,1,1,27,TgD,3,Frontslope,1
BL7,2001,2,1,15,TgD,3,Frontslope,1
BL7,2001,3,1,6,TgD,3,Frontslope,1
BL7,2001,4,1,9,TgD,3,Frontslope,1
BL7,2001,5,1,9,TgD,2,Frontslope,1
BL7,2001,1,2,31,TgD,2,Frontslope,1
BL7,2001,2,2,20,TgD,2,Frontslope,3
BL7,2001,3,2,5,TgD,2,Frontslope,3
BL7,2001,4,2,20,TgD,2,Frontslope,1
BL7,2001,5,2,22,TgD,2,Frontslope,1
BL7,2002,1,1,10,TgD,3,Frontslope,1
BL7,2002,2,1,14,TgD,3,Frontslope,1
BL7,2002,3,1,14,TgD,3,Frontslope,1
BL7,2002,4,1,25,TgD,3,Frontslope,1
BL7,2002,5,1,18.5,TgD,2,Frontslope,1
BL7,2002,1,2,12,TgD,2,Frontslope,1
BL7,2002,2,2,15.5,TgD,2,Frontslope,3
BL7,2002,3,2,6.5,TgD,2,Frontslope,3
BL7,2002,4,2,15,TgD,2,Frontslope,1
BL7,2002,5,2,18,TgD,2,Frontslope,1
BL7,2003,1,1,16,TgD,3,Frontslope,1
BL7,2003,2,1,5,TgD,3,Frontslope,1
BL7,2003,3,1,6,TgD,3,Frontslope,1
BL7,2003,4,1,6,TgD,3,Frontslope,1
BL7,2003,5,1,8,TgD,2,Frontslope,1
BL7,2003,1,2,10,TgD,2,Frontslope,1
BL7,2003,2,2,7,TgD,2,Frontslope,3
BL7,2003,3,2,8,TgD,2,Frontslope,3
BL7,2003,4,2,10,TgD,2,Frontslope,1
BL7,2003,5,2,7,TgD,2,Frontslope,1
BL7,2004,1,1,8.5,TgD,3,Frontslope,1
BL7,2004,2,1,16,TgD,3,Frontslope,1
BL7,2004,3,1,5,TgD,3,Frontslope,1
BL7,2004,4,1,6,TgD,3,Frontslope,1
BL7,2004,5,1,6,TgD,2,Frontslope,1
BL7,2004,1,2,8,TgD,2,Frontslope,1
BL7,2004,2,2,6,TgD,2,Frontslope,3
BL7,2004,3,2,10,TgD,2,Frontslope,3
BL7,2004,4,2,5,TgD,2,Frontslope,1
BL7,2004,5,2,12,TgD,2,Frontslope,1
BL7,2005,1,1,20.5,TgD,3,Frontslope,1
BL7,2005,2,1,48,TgD,3,Frontslope,1
BL7,2005,3,1,69,TgD,3,Frontslope,1
BL7,2005,4,1,48,TgD,3,Frontslope,1
BL7,2005,5,1,70,TgD,2,Frontslope,1
BL7,2005,1,2,10,TgD,2,Frontslope,1
BL7,2005,2,2,10,TgD,2,Frontslope,3
BL7,2005,3,2,8,TgD,2,Frontslope,3
BL7,2005,4,2,16,TgD,2,Frontslope,1
BL7,2005,5,2,16,TgD,2,Frontslope,1
BL7,2014,1,1,3,TgD,3,Frontslope,1
BL7,2014,2,1,43,TgD,3,Frontslope,1
BL7,2014,3,1,7,TgD,3,Frontslope,1
BL7,2014,4,1,7,TgD,3,Frontslope,1
BL7,2014,5,1,4,TgD,2,Frontslope,1
BL7,2014,1,2,2,TgD,2,Frontslope,1
BL7,2014,2,2,11,TgD,2,Frontslope,3
BL7,2014,3,2,14.5,TgD,2,Frontslope,3
BL7,2014,4,2,3.5,TgD,2,Frontslope,1
BL7,2014,5,2,4,TgD,2,Frontslope,1
NV8,1997,1,1,2,TgD,2,Foothill,3
NV8,1997,2,1,4,TgD,2,Foothill,1
NV8,1997,3,1,1.5,ThE,1,Foothill,1
NV8,1997,4,1,9,ThE,1,Foothill,1
NV8,1997,5,1,5,ThE,1,Foothill,1
NV8,1997,1,2,,TgD,1,Foothill,1
NV8,1997,2,2,,TgD,1,Foothill,1
NV8,1997,3,2,,TgD,2,Foothill,1
NV8,1997,4,2,,TgD,2,Foothill,3
NV8,1997,5,2,,TgD,2,Foothill,3
NV8,1998,1,1,8,TgD,2,Foothill,3
NV8,1998,2,1,7.5,TgD,2,Foothill,1
NV8,1998,3,1,60,ThE,1,Foothill,1
NV8,1998,4,1,8.5,ThE,1,Foothill,1
NV8,1998,5,1,40,ThE,1,Foothill,1
NV8,1998,1,2,,TgD,1,Foothill,1
NV8,1998,2,2,,TgD,1,Foothill,1
NV8,1998,3,2,,TgD,2,Foothill,1
NV8,1998,4,2,,TgD,2,Foothill,3
NV8,1998,5,2,,TgD,2,Foothill,3
NV8,1999,1,1,1.5,TgD,2,Foothill,3
NV8,1999,2,1,10,TgD,2,Foothill,1
NV8,1999,3,1,3,ThE,1,Foothill,1
NV8,1999,4,1,34,ThE,1,Foothill,1
NV8,1999,5,1,47,ThE,1,Foothill,1
NV8,1999,1,2,,TgD,1,Foothill,1
NV8,1999,2,2,,TgD,1,Foothill,1
NV8,1999,3,2,,TgD,2,Foothill,1
NV8,1999,4,2,,TgD,2,Foothill,3
NV8,1999,5,2,,TgD,2,Foothill,3
NV8,2000,1,1,27,TgD,2,Foothill,3
NV8,2000,2,1,4,TgD,2,Foothill,1
NV8,2000,3,1,12,ThE,1,Foothill,1
NV8,2000,4,1,22,ThE,1,Foothill,1
NV8,2000,5,1,20,ThE,1,Foothill,1
NV8,2000,1,2,0.5,TgD,1,Foothill,1
NV8,2000,2,2,0.2,TgD,1,Foothill,1
NV8,2000,3,2,13,TgD,2,Foothill,1
NV8,2000,4,2,7,TgD,2,Foothill,3
NV8,2000,5,2,18,TgD,2,Foothill,3
NV8,2001,1,1,6,TgD,2,Foothill,3
NV8,2001,2,1,3,TgD,2,Foothill,1
NV8,2001,3,1,3,ThE,1,Foothill,1
NV8,2001,4,1,33,ThE,1,Foothill,1
NV8,2001,5,1,13,ThE,1,Foothill,1
NV8,2001,1,2,5,TgD,1,Foothill,1
NV8,2001,2,2,7,TgD,1,Foothill,1
NV8,2001,3,2,8,TgD,2,Foothill,1
NV8,2001,4,2,11,TgD,2,Foothill,3
NV8,2001,5,2,7,TgD,2,Foothill,3
NV8,2002,1,1,9,TgD,2,Foothill,3
NV8,2002,2,1,5,TgD,2,Foothill,1
NV8,2002,3,1,10,ThE,1,Foothill,1
NV8,2002,4,1,30,ThE,1,Foothill,1
NV8,2002,5,1,32,ThE,1,Foothill,1
NV8,2002,1,2,8,TgD,1,Foothill,1
NV8,2002,2,2,8,TgD,1,Foothill,1
NV8,2002,3,2,6.5,TgD,2,Foothill,1
NV8,2002,4,2,9,TgD,2,Foothill,3
NV8,2002,5,2,12,TgD,2,Foothill,3
NV8,2003,1,1,12,TgD,2,Foothill,3
NV8,2003,2,1,7,TgD,2,Foothill,1
NV8,2003,3,1,2,ThE,1,Foothill,1
NV8,2003,4,1,8,ThE,1,Foothill,1
NV8,2003,5,1,8,ThE,1,Foothill,1
NV8,2003,1,2,4,TgD,1,Foothill,1
NV8,2003,2,2,5,TgD,1,Foothill,1
NV8,2003,3,2,8,TgD,2,Foothill,1
NV8,2003,4,2,7,TgD,2,Foothill,3
NV8,2003,5,2,10,TgD,2,Foothill,3
NV8,2004,1,1,5,TgD,2,Foothill,3
NV8,2004,2,1,17,TgD,2,Foothill,1
NV8,2004,3,1,1,ThE,1,Foothill,1
NV8,2004,4,1,4,ThE,1,Foothill,1
NV8,2004,5,1,6,ThE,1,Foothill,1
NV8,2004,1,2,8,TgD,1,Foothill,1
NV8,2004,2,2,4,TgD,1,Foothill,1
NV8,2004,3,2,12,TgD,2,Foothill,1
NV8,2004,4,2,20,TgD,2,Foothill,3
NV8,2004,5,2,6,TgD,2,Foothill,3
NV8,2005,1,1,39,TgD,2,Foothill,3
NV8,2005,2,1,9,TgD,2,Foothill,1
NV8,2005,3,1,24,ThE,1,Foothill,1
NV8,2005,4,1,15,ThE,1,Foothill,1
NV8,2005,5,1,45,ThE,1,Foothill,1
NV8,2005,1,2,20,TgD,1,Foothill,1
NV8,2005,2,2,8,TgD,1,Foothill,1
NV8,2005,3,2,10,TgD,2,Foothill,1
NV8,2005,4,2,20,TgD,2,Foothill,3
NV8,2005,5,2,15,TgD,2,Foothill,3
NV8,2014,1,1,31.5,TgD,2,Foothill,3
NV8,2014,2,1,2.5,TgD,2,Foothill,1
NV8,2014,3,1,11.5,ThE,1,Foothill,1
NV8,2014,4,1,7,ThE,1,Foothill,1
NV8,2014,5,1,2.5,ThE,1,Foothill,1
NV8,2014,1,2,8.5,TgD,1,Foothill,1
NV8,2014,2,2,9,TgD,1,Foothill,1
NV8,2014,3,2,14.5,TgD,2,Foothill,1
NV8,2014,4,2,13,TgD,2,Foothill,3
NV8,2014,5,2,10,TgD,2,Foothill,3
ML9,1997,1,1,14,TgD,1,Foothill,1
ML9,1997,2,1,14,TgD,1,Foothill,3
ML9,1997,3,1,157.5,TgD,1,Foothill,3
ML9,1997,4,1,24,TfD,1,Foothill,3
ML9,1997,5,1,18,TfD,1,Foothill,3
ML9,1997,1,2,,TfD,1,Foothill,3
ML9,1997,2,2,,TfD,1,Foothill,3
ML9,1997,3,2,,TfD,1,Foothill,1
ML9,1997,4,2,,TgD,1,Foothill,3
ML9,1997,5,2,,TgD,1,Foothill,3
ML9,1998,1,1,49,TgD,1,Foothill,1
ML9,1998,2,1,19,TgD,1,Foothill,3
ML9,1998,3,1,6.5,TgD,1,Foothill,3
ML9,1998,4,1,11,TfD,1,Foothill,3
ML9,1998,5,1,19.5,TfD,1,Foothill,3
ML9,1998,1,2,,TfD,1,Foothill,3
ML9,1998,2,2,,TfD,1,Foothill,3
ML9,1998,3,2,,TfD,1,Foothill,1
ML9,1998,4,2,,TgD,1,Foothill,3
ML9,1998,5,2,,TgD,1,Foothill,3
ML9,1999,1,1,16.5,TgD,1,Foothill,1
ML9,1999,2,1,45.5,TgD,1,Foothill,3
ML9,1999,3,1,56,TgD,1,Foothill,3
ML9,1999,4,1,23.5,TfD,1,Foothill,3
ML9,1999,5,1,13,TfD,1,Foothill,3
ML9,1999,1,2,,TfD,1,Foothill,3
ML9,1999,2,2,,TfD,1,Foothill,3
ML9,1999,3,2,,TfD,1,Foothill,1
ML9,1999,4,2,,TgD,1,Foothill,3
ML9,1999,5,2,,TgD,1,Foothill,3
ML9,2000,1,1,2.5,TgD,1,Foothill,1
ML9,2000,2,1,23.5,TgD,1,Foothill,3
ML9,2000,3,1,11.5,TgD,1,Foothill,3
ML9,2000,4,1,15,TfD,1,Foothill,3
ML9,2000,5,1,6,TfD,1,Foothill,3
ML9,2000,1,2,10,TfD,1,Foothill,3
ML9,2000,2,2,9,TfD,1,Foothill,3
ML9,2000,3,2,14,TfD,1,Foothill,1
ML9,2000,4,2,13,TgD,1,Foothill,3
ML9,2000,5,2,15,TgD,1,Foothill,3
ML9,2001,1,1,47,TgD,1,Foothill,1
ML9,2001,2,1,14.5,TgD,1,Foothill,3
ML9,2001,3,1,22,TgD,1,Foothill,3
ML9,2001,4,1,60,TfD,1,Foothill,3
ML9,2001,5,1,17,TfD,1,Foothill,3
ML9,2001,1,2,18,TfD,1,Foothill,3
ML9,2001,2,2,12,TfD,1,Foothill,3
ML9,2001,3,2,11,TfD,1,Foothill,1
ML9,2001,4,2,21,TgD,1,Foothill,3
ML9,2001,5,2,20,TgD,1,Foothill,3
ML9,2002,1,1,7,TgD,1,Foothill,1
ML9,2002,2,1,9,TgD,1,Foothill,3
ML9,2002,3,1,8.5,TgD,1,Foothill,3
ML9,2002,4,1,4,TfD,1,Foothill,3
ML9,2002,5,1,25,TfD,1,Foothill,3
ML9,2002,1,2,15,TfD,1,Foothill,3
ML9,2002,2,2,20,TfD,1,Foothill,3
ML9,2002,3,2,8,TfD,1,Foothill,1
ML9,2002,4,2,7,TgD,1,Foothill,3
ML9,2002,5,2,4,TgD,1,Foothill,3
ML9,2003,1,1,3,TgD,1,Foothill,1
ML9,2003,2,1,7,TgD,1,Foothill,3
ML9,2003,3,1,9,TgD,1,Foothill,3
ML9,2003,4,1,8,TfD,1,Foothill,3
ML9,2003,5,1,7,TfD,1,Foothill,3
ML9,2003,1,2,10,TfD,1,Foothill,3
ML9,2003,2,2,6,TfD,1,Foothill,3
ML9,2003,3,2,12,TfD,1,Foothill,1
ML9,2003,4,2,10,TgD,1,Foothill,3
ML9,2003,5,2,8,TgD,1,Foothill,3
ML9,2004,1,1,4,TgD,1,Foothill,1
ML9,2004,2,1,10,TgD,1,Foothill,3
ML9,2004,3,1,21,TgD,1,Foothill,3
ML9,2004,4,1,23,TfD,1,Foothill,3
ML9,2004,5,1,19,TfD,1,Foothill,3
ML9,2004,1,2,1,TfD,1,Foothill,3
ML9,2004,2,2,12,TfD,1,Foothill,3
ML9,2004,3,2,10,TfD,1,Foothill,1
ML9,2004,4,2,12,TgD,1,Foothill,3
ML9,2004,5,2,15,TgD,1,Foothill,3
ML9,2005,1,1,9,TgD,1,Foothill,1
ML9,2005,2,1,7,TgD,1,Foothill,3
ML9,2005,3,1,7,TgD,1,Foothill,3
ML9,2005,4,1,18,TfD,1,Foothill,3
ML9,2005,5,1,9,TfD,1,Foothill,3
ML9,2005,1,2,12,TfD,1,Foothill,3
ML9,2005,2,2,6,TfD,1,Foothill,3
ML9,2005,3,2,7,TfD,1,Foothill,1
ML9,2005,4,2,6,TgD,1,Foothill,3
ML9,2005,5,2,8,TgD,1,Foothill,3
ML9,2014,1,1,6.5,TgD,1,Foothill,1
ML9,2014,2,1,6.5,TgD,1,Foothill,3
ML9,2014,3,1,7.5,TgD,1,Foothill,3
ML9,2014,4,1,10.5,TfD,1,Foothill,3
ML9,2014,5,1,3,TfD,1,Foothill,3
ML9,2014,1,2,4.5,TfD,1,Foothill,3
ML9,2014,2,2,7.5,TfD,1,Foothill,3
ML9,2014,3,2,5,TfD,1,Foothill,1
ML9,2014,4,2,9.5,TgD,1,Foothill,3
ML9,2014,5,2,19.5,TgD,1,Foothill,3
AD10,1997,1,1,43,ThE,1,Foothill,3
AD10,1997,2,1,27,ThE,1,Foothill,3
AD10,1997,3,1,8,SuD,2,Foothill,1
AD10,1997,4,1,1.5,SuD,3,Foothill,3
AD10,1997,5,1,9,SuD,3,Foothill,3
AD10,1997,1,2,,ThE,3,Foothill,3
AD10,1997,2,2,,ThE,3,Foothill,3
AD10,1997,3,2,,ThE,3,Foothill,1
AD10,1997,4,2,,ThE,3,Foothill,1
AD10,1997,5,2,,SuD,2,Foothill,1
AD10,1998,1,1,70.5,ThE,1,Foothill,3
AD10,1998,2,1,34,ThE,1,Foothill,3
AD10,1998,3,1,8,SuD,2,Foothill,1
AD10,1998,4,1,12,SuD,3,Foothill,3
AD10,1998,5,1,16.5,SuD,3,Foothill,3
AD10,1998,1,2,,ThE,3,Foothill,3
AD10,1998,2,2,,ThE,3,Foothill,3
AD10,1998,3,2,,ThE,3,Foothill,1
AD10,1998,4,2,,ThE,3,Foothill,1
AD10,1998,5,2,,SuD,2,Foothill,1
AD10,1999,1,1,24,ThE,1,Foothill,3
AD10,1999,2,1,10.5,ThE,1,Foothill,3
AD10,1999,3,1,5.5,SuD,2,Foothill,1
AD10,1999,4,1,8.5,SuD,3,Foothill,3
AD10,1999,5,1,11.5,SuD,3,Foothill,3
AD10,1999,1,2,,ThE,3,Foothill,3
AD10,1999,2,2,,ThE,3,Foothill,3
AD10,1999,3,2,,ThE,3,Foothill,1
AD10,1999,4,2,,ThE,3,Foothill,1
AD10,1999,5,2,,SuD,2,Foothill,1
AD10,2000,1,1,1.5,ThE,1,Foothill,3
AD10,2000,2,1,18,ThE,1,Foothill,3
AD10,2000,3,1,24.5,SuD,2,Foothill,1
AD10,2000,4,1,7,SuD,3,Foothill,3
AD10,2000,5,1,38,SuD,3,Foothill,3
AD10,2000,1,2,10,ThE,3,Foothill,3
AD10,2000,2,2,18,ThE,3,Foothill,3
AD10,2000,3,2,20,ThE,3,Foothill,1
AD10,2000,4,2,9,ThE,3,Foothill,1
AD10,2000,5,2,3,SuD,2,Foothill,1
AD10,2001,1,1,2,ThE,1,Foothill,3
AD10,2001,2,1,7,ThE,1,Foothill,3
AD10,2001,3,1,29,SuD,2,Foothill,1
AD10,2001,4,1,17,SuD,3,Foothill,3
AD10,2001,5,1,6,SuD,3,Foothill,3
AD10,2001,1,2,6,ThE,3,Foothill,3
AD10,2001,2,2,3,ThE,3,Foothill,3
AD10,2001,3,2,7,ThE,3,Foothill,1
AD10,2001,4,2,20,ThE,3,Foothill,1
AD10,2001,5,2,12,SuD,2,Foothill,1
AD10,2002,1,1,3,ThE,1,Foothill,3
AD10,2002,2,1,20,ThE,1,Foothill,3
AD10,2002,3,1,16,SuD,2,Foothill,1
AD10,2002,4,1,17,SuD,3,Foothill,3
AD10,2002,5,1,3,SuD,3,Foothill,3
AD10,2002,1,2,13,ThE,3,Foothill,3
AD10,2002,2,2,19,ThE,3,Foothill,3
AD10,2002,3,2,25,ThE,3,Foothill,1
AD10,2002,4,2,9,ThE,3,Foothill,1
AD10,2002,5,2,5.5,SuD,2,Foothill,1
AD10,2003,1,1,5,ThE,1,Foothill,3
AD10,2003,2,1,8,ThE,1,Foothill,3
AD10,2003,3,1,12,SuD,2,Foothill,1
AD10,2003,4,1,4,SuD,3,Foothill,3
AD10,2003,5,1,8,SuD,3,Foothill,3
AD10,2003,1,2,8,ThE,3,Foothill,3
AD10,2003,2,2,1,ThE,3,Foothill,3
AD10,2003,3,2,4,ThE,3,Foothill,1
AD10,2003,4,2,2.5,ThE,3,Foothill,1
AD10,2003,5,2,0.5,SuD,2,Foothill,1
AD10,2004,1,1,2,ThE,1,Foothill,3
AD10,2004,2,1,6,ThE,1,Foothill,3
AD10,2004,3,1,13.5,SuD,2,Foothill,1
AD10,2004,4,1,4.5,SuD,3,Foothill,3
AD10,2004,5,1,8,SuD,3,Foothill,3
AD10,2004,1,2,5,ThE,3,Foothill,3
AD10,2004,2,2,10,ThE,3,Foothill,3
AD10,2004,3,2,12,ThE,3,Foothill,1
AD10,2004,4,2,6,ThE,3,Foothill,1
AD10,2004,5,2,8,SuD,2,Foothill,1
AD10,2005,1,1,1,ThE,1,Foothill,3
AD10,2005,2,1,7,ThE,1,Foothill,3
AD10,2005,3,1,15,SuD,2,Foothill,1
AD10,2005,4,1,19,SuD,3,Foothill,3
AD10,2005,5,1,48,SuD,3,Foothill,3
AD10,2005,1,2,10,ThE,3,Foothill,3
AD10,2005,2,2,25,ThE,3,Foothill,3
AD10,2005,3,2,15,ThE,3,Foothill,1
AD10,2005,4,2,25,ThE,3,Foothill,1
AD10,2005,5,2,25,SuD,2,Foothill,1
AD10,2014,1,1,21.5,ThE,1,Foothill,3
AD10,2014,2,1,21,ThE,1,Foothill,3
AD10,2014,3,1,7.5,SuD,2,Foothill,2
AD10,2014,4,1,11.5,SuD,3,Foothill,3
AD10,2014,5,1,8,SuD,3,Foothill,3
AD10,2014,1,2,15.5,ThE,3,Foothill,3
AD10,2014,2,2,15,ThE,3,Foothill,3
AD10,2014,3,2,15.5,ThE,3,Foothill,1
AD10,2014,4,2,12,ThE,3,Foothill,1
AD10,2014,5,2,15,SuD,2,Foothill,1
AD11,1997,1,1,89,ThE,2,Foothill,3
AD11,1997,2,1,19,ThE,1,Foothill,3
AD11,1997,3,1,81.5,ThE,1,Foothill,3
AD11,1997,4,1,26,TgD,1,Foothill,1
AD11,1997,5,1,7.5,TgD,1,Foothill,3
AD11,1997,1,2,,TgD,1,Foothill,3
AD11,1997,2,2,,TgD,2,Foothill,3
AD11,1997,3,2,,TgD,2,Foothill,3
AD11,1997,4,2,,TgD,3,Foothill,3
AD11,1997,5,2,,TgD,3,Foothill,3
AD11,1998,1,1,20,ThE,2,Foothill,3
AD11,1998,2,1,23,ThE,1,Foothill,3
AD11,1998,3,1,20.5,ThE,1,Foothill,3
AD11,1998,4,1,20.5,TgD,1,Foothill,1
AD11,1998,5,1,46.5,TgD,1,Foothill,3
AD11,1998,1,2,,TgD,1,Foothill,3
AD11,1998,2,2,,TgD,2,Foothill,3
AD11,1998,3,2,,TgD,2,Foothill,3
AD11,1998,4,2,,TgD,3,Foothill,3
AD11,1998,5,2,,TgD,3,Foothill,3
AD11,1999,1,1,18,ThE,2,Foothill,3
AD11,1999,2,1,52,ThE,1,Foothill,3
AD11,1999,3,1,31,ThE,1,Foothill,3
AD11,1999,4,1,97.5,TgD,1,Foothill,1
AD11,1999,5,1,25,TgD,1,Foothill,3
AD11,1999,1,2,,TgD,1,Foothill,3
AD11,1999,2,2,,TgD,2,Foothill,3
AD11,1999,3,2,,TgD,2,Foothill,3
AD11,1999,4,2,,TgD,3,Foothill,3
AD11,1999,5,2,,TgD,3,Foothill,3
AD11,2000,1,1,37.5,ThE,2,Foothill,3
AD11,2000,2,1,6,ThE,1,Foothill,3
AD11,2000,3,1,54,ThE,1,Foothill,3
AD11,2000,4,1,14,TgD,1,Foothill,1
AD11,2000,5,1,30,TgD,1,Foothill,3
AD11,2000,1,2,19,TgD,1,Foothill,3
AD11,2000,2,2,31,TgD,2,Foothill,3
AD11,2000,3,2,29,TgD,2,Foothill,3
AD11,2000,4,2,30,TgD,3,Foothill,3
AD11,2000,5,2,6,TgD,3,Foothill,3
AD11,2001,1,1,24,ThE,2,Foothill,3
AD11,2001,2,1,32,ThE,1,Foothill,3
AD11,2001,3,1,8,ThE,1,Foothill,3
AD11,2001,4,1,43,TgD,1,Foothill,1
AD11,2001,5,1,23,TgD,1,Foothill,3
AD11,2001,1,2,22,TgD,1,Foothill,3
AD11,2001,2,2,18,TgD,2,Foothill,3
AD11,2001,3,2,24,TgD,2,Foothill,3
AD11,2001,4,2,30,TgD,3,Foothill,3
AD11,2001,5,2,32,TgD,3,Foothill,3
AD11,2002,1,1,18,ThE,2,Foothill,3
AD11,2002,2,1,18,ThE,1,Foothill,3
AD11,2002,3,1,7,ThE,1,Foothill,3
AD11,2002,4,1,16,TgD,1,Foothill,1
AD11,2002,5,1,21,TgD,1,Foothill,3
AD11,2002,1,2,11,TgD,1,Foothill,3
AD11,2002,2,2,25,TgD,2,Foothill,3
AD11,2002,3,2,12,TgD,2,Foothill,3
AD11,2002,4,2,10,TgD,3,Foothill,3
AD11,2002,5,2,15,TgD,3,Foothill,3
AD11,2003,1,1,5,ThE,2,Foothill,3
AD11,2003,2,1,12,ThE,1,Foothill,3
AD11,2003,3,1,5,ThE,1,Foothill,3
AD11,2003,4,1,6,TgD,1,Foothill,1
AD11,2003,5,1,0,TgD,1,Foothill,3
AD11,2003,1,2,7,TgD,1,Foothill,3
AD11,2003,2,2,3,TgD,2,Foothill,3
AD11,2003,3,2,3,TgD,2,Foothill,3
AD11,2003,4,2,2.5,TgD,3,Foothill,3
AD11,2003,5,2,4,TgD,3,Foothill,3
AD11,2004,1,1,9,ThE,2,Foothill,3
AD11,2004,2,1,16,ThE,1,Foothill,3
AD11,2004,3,1,20,ThE,1,Foothill,3
AD11,2004,4,1,8,TgD,1,Foothill,1
AD11,2004,5,1,20,TgD,1,Foothill,3
AD11,2004,1,2,5,TgD,1,Foothill,3
AD11,2004,2,2,5,TgD,2,Foothill,3
AD11,2004,3,2,10,TgD,2,Foothill,3
AD11,2004,4,2,18,TgD,3,Foothill,3
